date,iso_code,new_cases_smoothed,new_deaths_smoothed,population,num_vacunes
2020/01/24,FRA,,,67564251,
2020/01/25,FRA,,,67564251,
2020/01/26,FRA,,,67564251,
2020/01/27,DEU,,,83783945,
2020/01/27,FRA,,,67564251,
2020/01/28,DEU,,,83783945,
2020/01/28,FRA,,,67564251,
2020/01/29,DEU,,,83783945,
2020/01/29,FIN,,,5540718,
2020/01/29,FRA,0.714,0,67564251,
2020/01/30,DEU,,,83783945,
2020/01/30,FIN,,,5540718,
2020/01/30,FRA,0.714,0,67564251,
2020/01/31,DEU,,,83783945,
2020/01/31,FIN,,,5540718,
2020/01/31,FRA,0.429,0,67564251,
2020/01/31,ITA,,,60461828,
2020/02/01,DEU,1.143,0,83783945,
2020/02/01,ESP,,,46754783,
2020/02/01,FIN,,,5540718,
2020/02/01,FRA,0.429,0,67564251,
2020/02/01,ITA,,,60461828,
2020/02/01,SWE,,,10099270,
2020/02/02,CYP,,,875899,
2020/02/02,DEU,1.429,0,83783945,
2020/02/02,DNK,,,5792203,
2020/02/02,ESP,,,46754783,
2020/02/02,FIN,,,5540718,
2020/02/02,FRA,0.429,0,67564251,
2020/02/02,IRL,,,4937796,
2020/02/02,ITA,,,60461828,
2020/02/02,LVA,,,1886202,
2020/02/02,PRT,,,10196707,
2020/02/02,SVN,,,2078932,
2020/02/02,SWE,,,10099270,
2020/02/03,DEU,1.571,0,83783945,
2020/02/03,DNK,,,5792203,
2020/02/03,ESP,,,46754783,
2020/02/03,FIN,0.143,0,5540718,
2020/02/03,FRA,0.429,0,67564251,
2020/02/03,ITA,,,60461828,
2020/02/03,SVN,,,2078932,
2020/02/03,SWE,,,10099270,
2020/02/04,BEL,,,11589616,
2020/02/04,DEU,1.143,0,83783945,
2020/02/04,DNK,,,5792203,
2020/02/04,ESP,,,46754783,
2020/02/04,FIN,0.143,0,5540718,
2020/02/04,FRA,0.286,0,67564251,
2020/02/04,ITA,,,60461828,
2020/02/04,SVN,,,2078932,
2020/02/04,SWE,,,10099270,
2020/02/05,BEL,,,11589616,
2020/02/05,DEU,1.143,0,83783945,
2020/02/05,DNK,,,5792203,
2020/02/05,ESP,,,46754783,
2020/02/05,EST,,,1326539,
2020/02/05,FIN,0,0,5540718,
2020/02/05,FRA,0.143,0,67564251,
2020/02/05,ITA,0.286,0,60461828,
2020/02/05,SVN,,,2078932,
2020/02/05,SWE,,,10099270,
2020/02/06,BEL,,,11589616,
2020/02/06,DEU,1.143,0,83783945,
2020/02/06,DNK,,,5792203,
2020/02/06,ESP,0.143,0,46754783,
2020/02/06,EST,,,1326539,
2020/02/06,FIN,0,0,5540718,
2020/02/06,FRA,0.143,0,67564251,
2020/02/06,ITA,0.286,0,60461828,
2020/02/06,MLT,,,441539,
2020/02/06,SVN,,,2078932,
2020/02/06,SWE,0.143,0,10099270,
2020/02/07,BEL,,,11589616,
2020/02/07,DEU,1.143,0,83783945,
2020/02/07,DNK,,,5792203,
2020/02/07,ESP,0.143,0,46754783,
2020/02/07,EST,,,1326539,
2020/02/07,FIN,0,0,5540718,
2020/02/07,FRA,0.143,0,67564251,
2020/02/07,ITA,0.143,0,60461828,
2020/02/07,MLT,,,441539,
2020/02/07,SVN,,,2078932,
2020/02/07,SWE,0.143,0,10099270,
2020/02/08,BEL,,,11589616,
2020/02/08,DEU,0.714,0,83783945,
2020/02/08,DNK,,,5792203,
2020/02/08,ESP,0,0,46754783,
2020/02/08,EST,,,1326539,
2020/02/08,FIN,0,0,5540718,
2020/02/08,FRA,0.714,0,67564251,
2020/02/08,ITA,0.143,0,60461828,
2020/02/08,MLT,,,441539,
2020/02/08,SVN,,,2078932,
2020/02/08,SWE,0,0,10099270,
2020/02/09,BEL,0.143,0,11589616,
2020/02/09,DEU,0.571,0,83783945,
2020/02/09,DNK,,,5792203,
2020/02/09,ESP,0.143,0,46754783,
2020/02/09,EST,,,1326539,
2020/02/09,FIN,0,0,5540718,
2020/02/09,FRA,0.714,0,67564251,
2020/02/09,IRL,,,4937796,
2020/02/09,ITA,0.143,0,60461828,
2020/02/09,LVA,,,1886202,
2020/02/09,MLT,,,441539,
2020/02/09,PRT,,,10196707,
2020/02/09,SVN,,,2078932,
2020/02/09,SWE,0,0,10099270,
2020/02/10,BEL,0.143,0,11589616,
2020/02/10,DEU,0.286,0,83783945,
2020/02/10,DNK,,,5792203,
2020/02/10,ESP,0.143,0,46754783,
2020/02/10,EST,,,1326539,
2020/02/10,FIN,0,0,5540718,
